rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,id
0.5885416666666666,0.4956140350877193,0.5380952380952381,0.17801047120418848,0.14977973568281938,0.16267942583732056,0.3177083333333333,0.2675438596491228,0.2904761904761905,train_22
0.4864864864864865,0.5206611570247934,0.5029940119760479,0.11627906976744186,0.12448132780082988,0.12024048096192386,0.21621621621621623,0.23140495867768596,0.22355289421157687,train_45
0.39732142857142855,0.40825688073394495,0.40271493212669685,0.1031390134529148,0.10599078341013825,0.10454545454545455,0.24107142857142858,0.24770642201834864,0.24434389140271495,train_172
0.49166666666666664,0.5086206896551724,0.4999999999999999,0.11297071129707113,0.11688311688311688,0.1148936170212766,0.21666666666666667,0.22413793103448276,0.22033898305084748,train_128
0.3416666666666667,0.3416666666666667,0.3416666666666667,0.07531380753138076,0.07531380753138076,0.07531380753138076,0.19583333333333333,0.19583333333333333,0.19583333333333333,train_164
0.5176991150442478,0.4775510204081633,0.4968152866242039,0.12444444444444444,0.11475409836065574,0.11940298507462688,0.2831858407079646,0.2612244897959184,0.2717622080679406,train_18
0.5185185185185185,0.5166051660516605,0.5175600739371534,0.11524163568773234,0.11481481481481481,0.11502782931354359,0.21481481481481482,0.2140221402214022,0.21441774491682072,train_27
0.5641025641025641,0.5764192139737991,0.5701943844492441,0.21030042918454936,0.2149122807017544,0.2125813449023861,0.2777777777777778,0.2838427947598253,0.28077753779697623,train_71
0.611764705882353,0.43333333333333335,0.5073170731707317,0.1301775147928994,0.09205020920502092,0.10784313725490195,0.29411764705882354,0.20833333333333334,0.24390243902439027,train_134
0.4894366197183099,0.6096491228070176,0.5429687499999999,0.10954063604240283,0.13656387665198239,0.1215686274509804,0.2112676056338028,0.2631578947368421,0.23437499999999997,train_102
0.31363636363636366,0.518796992481203,0.3909348441926346,0.045662100456621,0.07575757575757576,0.05698005698005698,0.1590909090909091,0.2631578947368421,0.19830028328611896,train_101
0.4669603524229075,0.4608695652173913,0.4638949671772429,0.13274336283185842,0.13100436681222707,0.13186813186813187,0.24669603524229075,0.24347826086956523,0.2450765864332604,train_178
0.5656108597285068,0.40584415584415584,0.47258979206049145,0.15,0.10749185667752444,0.12523719165085387,0.3212669683257919,0.2305194805194805,0.2684310018903591,train_73
0.46551724137931033,0.5714285714285714,0.513064133016627,0.14285714285714285,0.17553191489361702,0.1575178997613365,0.25,0.30687830687830686,0.2755344418052256,train_190
0.5829383886255924,0.5394736842105263,0.560364464692483,0.16666666666666666,0.15418502202643172,0.16018306636155605,0.3127962085308057,0.2894736842105263,0.30068337129840544,train_48
0.4591194968553459,0.3476190476190476,0.3956639566395664,0.08227848101265822,0.06220095693779904,0.07084468664850135,0.23270440251572327,0.1761904761904762,0.20054200542005424,train_19
0.5840336134453782,0.4440894568690096,0.5045372050816697,0.13924050632911392,0.10576923076923077,0.12021857923497267,0.24369747899159663,0.1853035143769968,0.21052631578947367,train_54
0.44933920704845814,0.4880382775119617,0.4678899082568807,0.09292035398230089,0.10096153846153846,0.09677419354838711,0.21585903083700442,0.23444976076555024,0.22477064220183487,train_38
0.4965986394557823,0.437125748502994,0.46496815286624205,0.0958904109589041,0.08433734939759036,0.08974358974358974,0.24489795918367346,0.2155688622754491,0.22929936305732485,train_86
